"Date","NO2","O3"
43113,8,32
43113.0416666667,8,32
43113.0833333333,6,33
43113.125,6,33
43113.1666666667,6,33
43113.2083333333,6,33
43113.25,7,32
43113.2916666667,8,30
43113.3333333333,8,29
43113.375,7,30
43113.4166666667,6,31
43113.4583333333,6,32
43113.5,5,32
43113.5416666667,5,32
43113.5833333333,4,34
43113.625,5,33
43113.6666666667,6,33
43113.7083333333,8,31
43113.75,8,30
43113.7916666667,10,29
43113.8333333333,10,29
43113.875,12,27
43113.9166666667,15,24
43113.9583333333,13,25
43114,17,22
43114.0416666667,21,19
43114.0833333333,29,11
43114.125,-999,-999
43114.1666666667,36,5
43114.2083333333,28,11
43114.25,25,14
43114.2916666667,36,7
43114.3333333333,47,2
43114.375,42,5
43114.4166666667,17,23
43114.4583333333,7,30
43114.5,12,27
43114.5416666667,9,29
43114.5833333333,5,33
43114.625,5,33
43114.6666666667,9,30
43114.7083333333,9,30
43114.75,7,32
43114.7916666667,11,29
43114.8333333333,13,28
43114.875,15,25
43114.9166666667,13,27
43114.9583333333,10,29
43115,9,30
43115.0416666667,10,30
43115.0833333333,10,30
43115.125,9,30
43115.1666666667,9,31
43115.2083333333,11,31
43115.25,11,30
43115.2916666667,14,27
43115.3333333333,14,27
43115.375,13,28
43115.4166666667,14,28
43115.4583333333,13,28
43115.5,14,27
43115.5416666667,16,25
43115.5833333333,17,24
43115.625,15,26
43115.6666666667,16,25
43115.7083333333,17,24
43115.75,17,24
43115.7916666667,16,24
43115.8333333333,27,13
43115.875,31,9
43115.9166666667,31,8
43115.9583333333,28,10
43116,26,10
43116.0416666667,25,11
43116.0833333333,27,9
43116.125,28,8
43116.1666666667,28,7
43116.2083333333,30,6
43116.25,35,2
43116.2916666667,38,1
43116.3333333333,36,3
43116.375,25,10
43116.4166666667,25,10
43116.4583333333,24,13
43116.5,19,15
43116.5416666667,14,21
43116.5833333333,12,25
43116.625,14,23
43116.6666666667,14,21
43116.7083333333,15,20
43116.75,17,18
43116.7916666667,25,10
43116.8333333333,24,11
43116.875,19,14
43116.9166666667,14,16
43116.9583333333,12,19
43117,13,-999
43117.0416666667,15,14
43117.0833333333,22,7
43117.125,22,7
43117.1666666667,23,5
43117.2083333333,27,3
43117.25,31,1
43117.2916666667,28,2
43117.3333333333,27,3
43117.375,28,5
43117.4166666667,21,15
43117.4583333333,13,25
43117.5,10,30
43117.5416666667,12,28
43117.5833333333,15,26
43117.625,14,26
43117.6666666667,14,25
43117.7083333333,16,23
43117.75,17,21
43117.7916666667,15,22
43117.8333333333,14,22
43117.875,13,23
43117.9166666667,13,22
43117.9583333333,14,21
43118,16,19
43118.0416666667,14,21
43118.0833333333,14,21
43118.125,13,22
43118.1666666667,15,20
43118.2083333333,18,17
43118.25,18,17
43118.2916666667,20,15
43118.3333333333,21,13
43118.375,18,15
43118.4166666667,18,16
43118.4583333333,17,16
43118.5,15,18
43118.5416666667,18,16
43118.5833333333,16,18
43118.625,16,19
43118.6666666667,17,17
43118.7083333333,15,19
43118.75,15,19
43118.7916666667,14,21
43118.8333333333,17,20
43118.875,17,20
43118.9166666667,15,21
43118.9583333333,15,22
43119,16,20
43119.0416666667,21,16
43119.0833333333,20,16
43119.125,19,16
43119.1666666667,22,14
43119.2083333333,20,-999
43119.25,20,14
43119.2916666667,23,11
43119.3333333333,21,13
43119.375,20,15
43119.4166666667,19,18
43119.4583333333,15,23
43119.5,14,25
43119.5416666667,11,29
43119.5833333333,11,30
43119.625,12,30
43119.6666666667,16,26
43119.7083333333,17,25
43119.75,14,28
43119.7916666667,15,29
43119.8333333333,13,31
43119.875,13,31
43119.9166666667,13,31
43119.9583333333,13,30
