"Date","temperature","NO2","O3"
43311.0416666667,18.7,11,23
43311.0833333333,18.8,18,12
43311.125,18.4,18,7
43311.1666666667,18.4,16,8
43311.2083333333,17.7,18,6
43311.25,18.3,22,5
43311.2916666667,20,23,13
43311.3333333333,21.7,15,25
43311.375,23,8,37
43311.4166666667,23.8,5,47
43311.4583333333,25,3,51
43311.5,25.7,2,54
43311.5416666667,24.4,2,54
43311.5833333333,26,2,51
43311.625,26,2,51
43311.6666666667,24.6,2,51
43311.7083333333,24.1,2,-999
43311.75,22.6,3,50
43311.7916666667,22.2,4,47
43311.8333333333,21.6,5,44
43311.875,21.6,6,40
43311.9166666667,21.1,9,34
43311.9583333333,19.9,12,27
43312,20.7,13,26
43312.0416666667,19.8,10,25
43312.0833333333,19.9,10,24
43312.125,19.1,12,20
43312.1666666667,18.7,16,15
43312.2083333333,18.4,20,10
43312.25,19.2,15,16
43312.2916666667,20.6,9,23
43312.3333333333,22.4,5,28
43312.375,23,4,33
43312.4166666667,24.3,3,37
43312.4583333333,24.4,2,39
43312.5,25.3,3,39
43312.5416666667,25.4,2,40
43312.5833333333,25.2,2,40
43312.625,25.3,2,42
43312.6666666667,25.3,2,42
43312.7083333333,24.1,2,43
43312.75,23.9,3,44
43312.7916666667,23.5,3,46
43312.8333333333,22.9,3,49
43312.875,22.9,3,45
43312.9166666667,22.5,3,42
43312.9583333333,20.9,3,36
43313,22.3,3,30
43313.0416666667,22.7,2,27
43313.0833333333,22.5,2,26
43313.125,22.3,2,26
43313.1666666667,22.3,3,24
43313.2083333333,22,4,24
43313.25,22.3,6,23
43313.2916666667,22.8,7,21
43313.3333333333,23.6,5,24
43313.375,24.1,5,27
43313.4166666667,25.2,5,30
43313.4583333333,25.4,6,34
43313.5,25.3,5,37
43313.5416666667,25.6,4,39
43313.5833333333,25.8,5,42
43313.625,26.4,6,42
43313.6666666667,26.4,6,42
43313.7083333333,25.7,7,40
43313.75,22.4,5,37
43313.7916666667,22.3,12,27
43313.8333333333,22.1,13,22
43313.875,21.8,10,25
43313.9166666667,21.2,8,30
43313.9583333333,22.1,9,31
43314,20.3,8,32
43314.0416666667,20.5,7,31
43314.0833333333,19.8,8,26
43314.125,19.5,7,24
43314.1666666667,19.5,8,23
43314.2083333333,18.5,17,16
43314.25,19,18,17
43314.2916666667,20.3,19,18
43314.3333333333,22,16,22
43314.375,24,14,28
43314.4166666667,26.2,14,30
43314.4583333333,27.1,10,43
43314.5,28.8,6,50
43314.5416666667,28.3,4,51
43314.5833333333,28.9,4,53
43314.625,29.6,4,53
43314.6666666667,27.7,4,51
43314.7083333333,27.2,5,50
43314.75,26.9,6,50
43314.7916666667,25.7,8,47
43314.8333333333,24.5,13,39
43314.875,23.9,12,37
43314.9166666667,23.9,12,-999
43314.9583333333,20.9,15,26
43315,21.7,17,21
43315.0416666667,22.4,14,21
43315.0833333333,21.1,11,21
43315.125,20.7,11,20
43315.1666666667,20.5,13,16
43315.2083333333,20.8,20,9
43315.25,20.5,26,5
43315.2916666667,22.4,27,9
43315.3333333333,23.2,13,31
43315.375,24.6,6,43
43315.4166666667,25.6,5,46
43315.4583333333,26,4,46
43315.5,27.4,3,48
43315.5416666667,27.5,3,52
43315.5833333333,28.5,3,54
43315.625,28.4,3,54
43315.6666666667,27.3,2,49
43315.7083333333,26.9,2,48
43315.75,25.2,2,48
43315.7916666667,24.5,4,45
43315.8333333333,23.5,5,43
43315.875,23.1,4,42
43315.9166666667,22.6,7,36
43315.9583333333,22.3,7,31
43316,22.3,-999,-999
43316.0416666667,21.6,7,24
43316.0833333333,20.4,6,26
43316.125,20.1,7,21
43316.1666666667,20.2,9,13
43316.2083333333,19.6,16,7
43316.25,19.9,16,6
43316.2916666667,21.7,12,17
43316.3333333333,23.6,10,27
43316.375,25.9,10,34
43316.4166666667,27.2,7,47
43316.4583333333,27.2,5,54
43316.5,28.2,5,64
43316.5416666667,28.6,5,70
43316.5833333333,28.7,6,64
43316.625,31.5,4,64
43316.6666666667,31.1,5,64
43316.7083333333,30.7,6,64
43316.75,30.1,6,59
43316.7916666667,28.4,7,55
43316.8333333333,26.9,10,49
43316.875,26.3,12,41
43316.9166666667,25.2,15,31
43316.9583333333,22.3,19,23
43317,22,20,19
43317.0416666667,21.7,23,13
43317.0833333333,21.8,20,14
43317.125,20.1,-999,-999
43317.1666666667,19.6,14,23
43317.2083333333,19.4,14,25
43317.25,20,11,30
43317.2916666667,22.7,11,36
43317.3333333333,25.6,8,46
43317.375,28.1,7,54
43317.4166666667,30,8,53
43317.4583333333,30.4,8,58
43317.5,30.5,6,61
43317.5416666667,31.5,5,59
43317.5833333333,33.8,4,55
43317.625,34.3,4,56
43317.6666666667,34.2,4,58
43317.7083333333,33.1,4,55
43317.75,32,4,53
43317.7916666667,30.6,7,48
43317.8333333333,29,8,46
43317.875,27.9,9,43
43317.9166666667,26.9,8,43
43317.9583333333,22.7,9,42
43318,26,6,46
