"Date","NO2","O3"
43288,10,21
43288.0416666667,9,22
43288.0833333333,7,23
43288.125,15,15
43288.1666666667,14,16
43288.2083333333,18,13
43288.25,17,14
43288.2916666667,15,18
43288.3333333333,13,23
43288.375,8,28
43288.4166666667,8,31
43288.4583333333,5,32
43288.5,3,33
43288.5416666667,3,30
43288.5833333333,3,32
43288.625,3,30
43288.6666666667,2,31
43288.7083333333,3,35
43288.75,3,35
43288.7916666667,5,32
43288.8333333333,7,31
43288.875,9,27
43288.9166666667,9,27
43288.9583333333,11,23
43289,14,19
43289.0416666667,17,12
43289.0833333333,14,15
43289.125,19,9
43289.1666666667,16,12
43289.2083333333,24,5
43289.25,20,10
43289.2916666667,18,18
43289.3333333333,13,26
43289.375,6,37
43289.4166666667,6,41
43289.4583333333,8,-999
43289.5,5,49
43289.5416666667,4,50
43289.5833333333,4,49
43289.625,3,49
43289.6666666667,3,49
43289.7083333333,3,47
43289.75,5,41
43289.7916666667,9,39
43289.8333333333,20,29
43289.875,16,29
43289.9166666667,11,34
43289.9583333333,8,37
43290,11,34
43290.0416666667,13,29
43290.0833333333,19,21
43290.125,18,22
43290.1666666667,36,8
43290.2083333333,36,9
43290.25,32,11
43290.2916666667,29,17
43290.3333333333,23,24
43290.375,16,37
43290.4166666667,18,42
43290.4583333333,17,49
43290.5,12,61
43290.5416666667,12,60
43290.5833333333,12,56
43290.625,14,54
43290.6666666667,8,60
43290.7083333333,6,65
43290.75,10,60
43290.7916666667,6,63
43290.8333333333,5,60
43290.875,6,59
43290.9166666667,6,58
43290.9583333333,13,52
43291,17,45
43291.0416666667,12,47
43291.0833333333,9,50
43291.125,15,41
43291.1666666667,18,35
43291.2083333333,38,15
43291.25,31,17
43291.2916666667,30,14
43291.3333333333,20,20
43291.375,19,25
43291.4166666667,17,28
43291.4583333333,15,32
43291.5,11,32
43291.5416666667,10,-999
43291.5833333333,11,29
43291.625,8,28
43291.6666666667,8,29
43291.7083333333,8,28
43291.75,7,28
43291.7916666667,8,24
43291.8333333333,6,26
43291.875,6,25
43291.9166666667,4,24
43291.9583333333,4,23
43292,4,23
43292.0416666667,4,22
43292.0833333333,6,20
43292.125,11,15
43292.1666666667,16,10
43292.2083333333,21,10
43292.25,22,7
43292.2916666667,18,12
43292.3333333333,11,20
43292.375,9,25
43292.4166666667,8,29
43292.4583333333,5,30
43292.5,5,29
43292.5416666667,4,30
43292.5833333333,4,33
43292.625,4,29
43292.6666666667,6,34
43292.7083333333,5,36
43292.75,7,35
43292.7916666667,10,33
43292.8333333333,14,35
43292.875,13,25
43292.9166666667,10,21
43292.9583333333,8,22
43293,11,19
43293.0416666667,19,12
43293.0833333333,19,10
43293.125,26,5
43293.1666666667,26,3
43293.2083333333,29,3
43293.25,33,4
43293.2916666667,35,6
43293.3333333333,32,11
43293.375,26,19
43293.4166666667,20,29
43293.4583333333,15,36
43293.5,12,36
43293.5416666667,8,33
43293.5833333333,6,32
43293.625,5,30
43293.6666666667,6,30
43293.7083333333,5,27
43293.75,6,27
43293.7916666667,12,22
43293.8333333333,37,4
43293.875,21,18
43293.9166666667,17,19
43293.9583333333,23,15
43294,25,11
43294.0416666667,29,8
43294.0833333333,26,8
43294.125,33,4
43294.1666666667,42,1
43294.2083333333,21,13
43294.25,29,8
43294.2916666667,16,18
43294.3333333333,10,24
43294.375,10,36
43294.4166666667,7,43
43294.4583333333,8,45
43294.5,11,45
43294.5416666667,9,46
43294.5833333333,6,49
43294.625,4,49
43294.6666666667,5,44
43294.7083333333,5,41
43294.75,10,46
43294.7916666667,18,38
43294.8333333333,23,31
43294.875,19,35
43294.9166666667,24,30
43294.9583333333,27,23
