"Date","NO2","O3"
43105,15,23
43105.0416666667,14,24
43105.0833333333,13,24
43105.125,18,20
43105.1666666667,20,18
43105.2083333333,24,15
43105.25,27,13
43105.2916666667,38,7
43105.3333333333,36,8
43105.375,24,16
43105.4166666667,22,18
43105.4583333333,22,19
43105.5,20,21
43105.5416666667,22,20
43105.5833333333,19,22
43105.625,14,24
43105.6666666667,15,22
43105.7083333333,19,19
43105.75,19,19
43105.7916666667,20,20
43105.8333333333,19,20
43105.875,13,-999
43105.9166666667,18,20
43105.9583333333,24,16
43106,12,24
43106.0416666667,17,20
43106.0833333333,21,17
43106.125,23,15
43106.1666666667,19,18
43106.2083333333,18,18
43106.25,16,21
43106.2916666667,23,14
43106.3333333333,22,16
43106.375,19,19
43106.4166666667,14,23
43106.4583333333,11,25
43106.5,11,26
43106.5416666667,12,26
43106.5833333333,13,26
43106.625,13,25
43106.6666666667,17,22
43106.7083333333,19,22
43106.75,18,23
43106.7916666667,21,21
43106.8333333333,29,15
43106.875,31,13
43106.9166666667,28,15
43106.9583333333,25,16
43107,38,6
43107.0416666667,45,1
43107.0833333333,45,1
43107.125,44,2
43107.1666666667,45,1
43107.2083333333,42,5
43107.25,28,14
43107.2916666667,18,22
43107.3333333333,20,21
43107.375,16,23
43107.4166666667,12,27
43107.4583333333,12,29
43107.5,12,29
43107.5416666667,15,27
43107.5833333333,13,28
43107.625,14,27
43107.6666666667,14,29
43107.7083333333,14,28
43107.75,15,27
43107.7916666667,14,28
43107.8333333333,14,27
43107.875,11,30
43107.9166666667,10,30
43107.9583333333,11,29
43108,10,30
43108.0416666667,10,28
43108.0833333333,12,26
43108.125,13,25
43108.1666666667,18,21
43108.2083333333,23,16
43108.25,28,11
43108.2916666667,27,12
43108.3333333333,22,17
43108.375,24,15
43108.4166666667,22,17
43108.4583333333,14,22
43108.5,15,21
43108.5416666667,15,20
43108.5833333333,16,17
43108.625,16,18
43108.6666666667,16,19
43108.7083333333,17,18
43108.75,20,15
43108.7916666667,16,20
43108.8333333333,19,17
43108.875,15,22
43108.9166666667,11,26
43108.9583333333,8,28
43109,10,28
43109.0416666667,11,27
43109.0833333333,12,26
43109.125,12,26
43109.1666666667,12,24
43109.2083333333,23,14
43109.25,26,12
43109.2916666667,30,9
43109.3333333333,21,17
43109.375,21,15
43109.4166666667,25,12
43109.4583333333,17,17
43109.5,19,16
43109.5416666667,19,16
43109.5833333333,15,18
43109.625,15,18
43109.6666666667,20,15
43109.7083333333,25,10
43109.75,28,8
43109.7916666667,21,14
43109.8333333333,15,18
43109.875,13,20
43109.9166666667,15,18
43109.9583333333,18,15
43110,21,14
43110.0416666667,24,11
43110.0833333333,31,6
43110.125,38,1
43110.1666666667,17,18
43110.2083333333,14,21
43110.25,27,11
43110.2916666667,33,8
43110.3333333333,29,11
43110.375,23,16
43110.4166666667,19,19
43110.4583333333,18,20
43110.5,19,20
43110.5416666667,20,18
43110.5833333333,25,15
43110.625,21,18
43110.6666666667,19,19
43110.7083333333,34,8
43110.75,31,10
43110.7916666667,24,15
43110.8333333333,19,18
43110.875,28,11
43110.9166666667,25,-999
43110.9583333333,44,0
43111,42,0
43111.0416666667,39,3
43111.0833333333,22,14
43111.125,33,7
43111.1666666667,18,17
43111.2083333333,18,16
43111.25,33,5
43111.2916666667,36,3
43111.3333333333,33,6
43111.375,35,6
43111.4166666667,28,13
43111.4583333333,22,18
43111.5,21,19
43111.5416666667,26,16
43111.5833333333,36,8
43111.625,37,7
43111.6666666667,26,14
43111.7083333333,21,18
43111.75,15,22
43111.7916666667,14,22
43111.8333333333,15,20
43111.875,13,21
43111.9166666667,10,24
43111.9583333333,8,26
